ID	sentence	question	1	2	Answer
1631	강아지가 오랜만에 주인을 만났다.	결과	강아지가 꼬리를 흔든다.	강아지가 짖는다.	1
1632	토끼의 귀가 쫑긋거린다.	원인	토끼가 병원에서 마취제를 맞고 잠들었다.	토끼가 어떤 소리를 포착했다.	2
1633	여자가 고양이의 눈 주위를 휴지로 닦았다.	원인	고양이의 코에 코딱지가 끼었다.	고양이의 눈에 눈곱이 끼었다.	2
1634	아이가 거리에서 울고 있다.	원인	아이는 장난감을 받았다.	아이는 길을 잃어버렸다.	2
1635	남자는 수수께끼 푸는 것을 어려워했다.	결과	남자가 수수께끼를 풀었다.	남자는 힌트를 요청했다.	2
1636	눈이 충혈되었다.	원인	오랫동안 컴퓨터 게임을 했다. 	부루마블을 했다.	1
1637	눈에 멍이 들었다.	결과	눈이 부어 앞이 보이지 않는다.	눈의 붓기가 빠져 앞지 잘 보인다.	1
1638	핸드크림을 발랐다.	원인	손이 건조하다.	손에서 향기가 난다.	1
1639	거실에 트리를 설치했다.	원인	크리스마스가 다가 왔다.	발렌타인데이가 다가 왔다.	1
1640	조개껍질을 주웠다.	원인	등산을 갔다.	바다에 갔다.	2
1641	대기표를 뽑았다.	원인	차례를 기다리는 사람이 많다.	차례를 기다리는 사람이 적다.	1
1642	우리팀 선수가 홈런을 쳤다.	원인	우리팀 관객이 실망했다.	우리팀 관객이 신나서 응원가를 불렀다.	2
1643	얼음을 냉동실에 보관했다.	결과	얼음이 녹았다.	얼음이 녹지 않았다.	2
1644	세탁이 끝난 옷을 세탁기에서 꺼냈다.	결과	옷이 더러워졌다.	옷을 햇볕이 잘 드는 빨래 건조대에 널었다.	2
1645	남자가 근육통이 심한 부위에 물리치료를 받았다.	결과	남자의 근육통이 심해졌다.	남자의 근육통이 완화되었다.	2
1646	감독이 촬영 종료 사인을 날렸다.	원인	감독이 원하는 장면을 모두 촬영했다.	감독이 원하는 장면을 아직 촬영하지 못했다.	1
1647	아이들이 고아원으로 보내졌다.	원인	아이들의 부모님이 아프다.	아이들의 부모님이 돌아가셨다.	2
1648	여자는 상복을 입었다.	원인	여자의 가족이 결혼한다.	여자의 가족이 죽었다.	2
1649	선풍기 날개를 세척했다.	원인	선풍기 바람이 강해졌다.	선풍기를 오랫동안 사용하지 않았다.	2
1650	남자는 내일 출근하지 않는다.	원인	내일은 월요일이다.	내일은 공휴일이다.	2
1651	그가 연필깎이에 연필을 넣고 돌렸다.	결과	연필이 뭉툭해졌다.	연필이 뾰족하게 깎였다.	2
1652	면봉에 귀지가 묻었다. 	원인	면봉으로 귀를 팠다.	귀이개로 귀를 팠다.	1
1653	휴대폰을 떨어뜨렸다.	결과	폰 액정이 깨졌다.	전화를 오랫동안 했다.	1
1654	여성은 모기에 물렸다.	결과	여성은 가려움을 느낀다.	여성은 피곤함을 느낀다.	1
1655	땀이 난다.	원인	냉탕에 들어갔다.	더운 사우나에서 찜질을 했다.	2
1656	시험을 망쳤다.	원인	밤새 게임을 했다.	문제집을 다 풀었다.	1
1657	건물 주차장이 텅텅 비었다.	결과	길 건너편에 주차했다.	주차장에 주차했다.	2
1658	중고차를 구입했다.	결과	차가 금방 망가졌다.	차를 잃어버렸다.	1
1659	손가락에 반지가 꼈다.	결과	손가락이 부었다.	손가락이 잘 움직인다.	1
1660	아이가 장화를 신었다.	원인	아이가 밖으로 나가려고 한다.	아이가 집으로 들어오려고 한다.	1
1661	그 남자는 군중 속에서 눈에 띄었다.	원인	남자가 배낭을 메고 있었다.	남자가 네온 조끼를 입고 있었다.	2
1662	기차가 속도를 줄였다.	원인	기차가 역에 접근하는 중이었다.	기차가 연착되었다.	1
1663	부동산 공인중개사 사무소에 갔다.	원인	자취방을 알아보려고 한다.	자취방 청소를 했다.	1
1664	비닐봉투가 찢어졌다.	원인	봉투에 날카롭고 무거운 물건이 들어있었다.	봉투에 가벼운 물건이 들어있었다.	1
1665	친구들이 보드게임 진행 방법을 내게 설명해주었다.	결과	나는 보드게임 하는 법을 배웠다.	나는 보드게임 하는 법을 모른다.	1
1666	바닷물이 깨끗해졌다.	원인	해수욕장을 몇 년간 봉쇄했다.	피서객들이 바다에 많이 들렀다.	1
1667	나뭇가지가 부러졌다.	원인	나뭇가지를 힘주어 잡아당겼다.	나뭇가지에 물을 뿌렸다.	1
1668	어깨에 쿨 파스를 붙였다.	원인	어깨에 상처가 있다.	어깨 근육이 뭉쳐 아프다.	2
1669	가게가 리모델링 공사를 마쳤다.	결과	가게가 다시 오픈했다.	가게가 폐업했다.	1
1670	노인이 중풍을 앓게 되었다.	결과	노인의 아들이 파티를 위해 방문했다.	노인의 아들이 간병을 위해 방문했다.	2
1671	환자가 의식불명이 되었다.	원인	환자가 마음의 병이 생겼다.	환자가 뇌졸중으로 쓰러졌다.	2
1672	감의 껍질을 벗겨 말렸다.	결과	곶감이 만들어졌다.	감미료가 만들어졌다.	1
1673	거실 바닥에서 넘어졌다.	원인	거실 바닥이 미끄럽다.	거실 바닥이 차다.	1
1674	나는 동생에게 사과했다.	원인	동생의 이불을 정리했다.	동생의 이불에 커피를 쏟았다.	2
1675	아이가 안경을 새로 맞췄다.	원인	아이의 시력이 나빠졌다.	아이의 시력이 좋아졌다.	1
1676	커플링을 던졌다.	원인	연인이 싸웠다.	연인이 데이트를 했다.	1
1677	도라지를 끓는 물에 넣었다.	결과	도라지가 물에 우려져, 도라지물이 완성되었다.	도라지가 딱딱하게 굳었다.	1
1678	자전거를 대여했다.	원인	자전거를 가져오지 않았다.	자전거를 새로 샀다.	1
1679	남성은 도서관에서 책을 빌릴 수 없다.	원인	남성은 반납하지 않은 책이 있다.	남성은 운동을 했다.	1
1680	아버지는 아들의 알코올 중독에 분개했다.	결과	아버지는 아들을 집에서 내보냈다.	아버지는 아들에게 맥주를 사줬다.	1
1681	길을 가다 넘어졌다.	원인	신발을 갈아신었다.	돌부리에 발이 걸렸다.	2
1682	남자가 집으로 간다.	원인	남자는 퇴근했다.	남자는 출근했다.	1
1683	일주일 내내 폭우가 왔다.	결과	강이 범람하고 홍수가 났다.	가뭄이 들어서 강이 메말랐다.	1
1684	연필을 깎았다.	원인	연필이 날카롭다.	연필이 부러졌다.	2
1685	여자가 연극 무대에서 울음을 터뜨렸다.	원인	여자는 무대 공포증이 있다.	여자는 연극 대사를 잘 외웠다.	1
1686	동생에게 노트북을 빌려주었다.	원인	동생의 컴퓨터가 고장났다.	동생이 컴퓨터를 선물받았다.	1
1687	드라이버로 의자 다리의 나사를 조였다.	원인	의자 다리가 흔들거렸다.	의자 다리가 흔들리지 않는다.	1
1688	점심을 급하게 먹었다.	원인	시간이 촉박했다.	시간이 여유로웠다.	1
1689	남자는 향수병에 걸렸다.	원인	남자는 동생과 말 다툼을 했다.	남자는 3년째 외국에서 거주 중이다.	2
1690	비누의 부피가 줄어들었다.	원인	비누를 오래 사용했다.	새 비누를 구입했다.	1
1691	여자는 10년 이상 기타를 배웠다.	결과	여자는 기타 연주를 잘한다.	여자는 기타 연주를 할 줄 모른다.	1
1692	아이와 함께 식당에 들어갔다.	결과	직원이 유아용 의자를 가져다주었다.	아이가 의자를 만들었다.	1
1693	누나는 학교에 결석했다. 	원인	누나가 배탈이 났다. 	선생님이 누나를 칭찬하셨다.	1
1694	미아 신고를 했다.	결과	아이가 실종되었다.	아이가 실족했다.	1
1695	생선에서 썩은 내가 난다.	원인	생선이 신선하다.	생선이 부패했다.	2
1696	여자가 더위 때문에 땀을 흘린다.	원인	여자가 많은 조명 아래 서 있다.	여자가 반사판으로 얼굴을 밝혔다.	1
1697	벽에 페인트 칠을 했다.	결과	페인트를 새로 샀다.	벽에 있던 얼룩이 사라졌다.	2
1698	어제 체육관에서 운동을 했다.	결과	목이 아프다.	근육통이 생겼다.	2
1699	아이가 쥐고 있던 풍선 끈을 놓쳤다.	결과	풍선의 바람이 빠졌다.	풍선이 하늘 위로 날라갔다.	2
1700	길을 걷다가 미끄러졌다.	원인	비가 와서 땅이 젖었다	비가 와서 집에서 머물렀다.	1
1701	하늘에서 우연히 오로라를 발견했다.	원인	북극에 와 있다.	하와이에 와 있다.	1
1702	더 많은 버스가 운행되기 시작했다.	원인	버스를 아무도 이용하지 않는다.	버스 이용객이 늘어났다.	2
1703	창문을 닫았다.	원인	밖에서 시끄러운 소리가 들린다.	밖이 조용하다.	1
1704	화초에 물을 주었다.	결과	화초가 싱싱해졌다.	화초 분갈이를 했다.	1
1705	남자가 시장에 갔다.	결과	쯔유를 샀다.	쯔유를 만들었다.	1
1706	휴대폰 전원이 꺼졌다. 	원인	휴대폰이 방전됐다.  	휴대폰 광고를 보았다.	1
1707	선풍기를 틀었다.	결과	바람이 멈췄다.	바람이 느껴졌다.	2
1708	메모지를 잘 보이는 곳에 붙였다.	원인	메모 내용을 잘 기억하고 싶었다.	메모 내용은 중요하지 않았다.	1
1709	불이 났다.	결과	소방차를 부른다.	경찰차를 부른다.	1
1710	무릎이 아팠다.	원인	오랫동안 누워 있었다.	계단을 여러 번 오르락 내리락 했다.	2
1711	여성이 비만 판정을 받았다.	원인	여성이 패스트푸드를 자주 먹었다.	여성이 채소를 자주 먹었다.	1
1712	아이를 잃어버렸다.	원인	길거리에 사람이 너무 많았다.	길거리가 한적했다.	1
1713	도시에 핵폭탄이 떨어졌다.	결과	도시가 폐허가 되었다.	도시가 재개발되었다.	1
1714	큰 소리로 웃었다.	원인	재미있는 이야기를 들었다.	화가 나는 이야기를 들었다.	1
1715	의자의 다리가 부러졌다.	결과	의자가 쓰러졌다.	의자 위에 짐을 올려놓았다.	1
1716	무거운 짐을 다 보관했다.	결과	어깨가 아프다.	몸이 가벼워졌다.	2
1717	비가 며칠동안 오지 않았다.	결과	목이 마르다.	잔디가 시들시들해졌다.	2
1718	선크림을 덧발랐다.	결과	피부가 타지 않았다.	피부가 탔다.	1
1719	커튼을 끈으로 묶어 고정했다.	결과	방에 빛이 잘 들어왔다.	방에 빛이 잘 들어오지 않았다.	1
1720	복사기로 문서를 복사했다.	결과	문서가 여러 장이 되었다.	문서가 찢어졌다.	1
1721	호텔 방에 불이 켜지지 않았다.	원인	카드키를 방에 꽂지 않았다.	카드키를 방에 꽂았다.	1
1722	한 달 만에 몸무게가 5kg이나 늘었다.	원인	매일 밤 야식을 먹었다.	매일 밤 운동을 했다.	1
1723	남자가 재채기를 했다.	원인	남자의 코에 먼지가 들어갔다.	남자의 발에 먼지가 붙었다.	1
1724	흰 백합을 파란 색소가 든 물에 넣었다.	결과	백합의 꽃잎이 분홍색으로 물들었다.	백합의 꽃잎이 파란색으로 물들었다.	2
1725	상처가 깊게 생겼다.	결과	상처가 빨리 나았다.	흉터가 남았다.	2
1726	마을에 전봇대를 설치했다.	결과	마을에 전기가 끊겼다.	마을에 전기가 공급되었다.	2
1727	남자가 티셔츠를 접어 창고에 넣었다.	원인	여름이 되었다.	겨울이 되었다.	2
1728	구급차가 도착했다.	결과	환자가 퇴원했다.	환자가 병원으로 이송됐다.	2
1729	철수는 머리가 아프다. 	원인	어제 과음을 했다. 	어제 일찍 잠자리에 들었다. 	1
1730	더운 여름날, 아이스크림을 오랫동안 상온에 두었다.	결과	아이스크림이 얼었다.	아이스크림이 녹았다.	2
1731	주차장에 자리가 없었다.	결과	골목길에 주차를 했다.	세차를 했다.	1
1732	아이가 울음을 그쳤다.	원인	부모가 아이를 혼냈다.	부모가 아이 앞에서 딸랑이를 흔들었다.	2
1733	연필로 글씨를 잘못 썼다.	결과	글씨 위에 수정 테이프칠을 했다.	지우개로 지웠다.	2
1734	물고기에게 며칠간 밥을 주지 않았다.	결과	물고기가 다른 물고기의 지느러미를 먹었다.	물고기가 다른 물고기의 지느러미로 장난쳤다.	1
1735	케이블 선이 어지럽게 엉켜있었다.	결과	케이블 선을 다 잘라냈다.	케이블 선을 하나씩 풀어 정리했다.	2
1736	공부를 열심히 했다.	결과	좋은 성적을 받았다.	시험이 끝났다.	1
1737	경기장에서 팬들이 야유했다.	원인	심판이 잘못된 판정을 내렸다.	경기가 연장전으로 넘어갔다.	1
1738	초콜릿을 데웠다.	결과	초콜릿이 딱딱해졌다.	초콜릿이 녹았다.	2
1739	일교차가 크다는 일기예보를 확인했다.	결과	외투를 챙겼다.	우산을 챙겼다.	1
1740	신발이 질퍽질퍽하다.	원인	신발을 세탁하고 햇빛에 말렸다.	물이 고인 웅덩이를 밟았다.	2
1741	남자는 근육을 키우고 싶다.	결과	남자는 컴퓨터 게임을 했다.	남자는 역기를 들었다.	2
1742	남성은 밥을 두 그릇 먹었다.	원인	남성은 매우 배가 고팠다.	남성은 매우 배가 불렀다.	2
1743	입 안을 데었다.	원인	뜨거운 음식을 먹었다.	짠 음식을 먹었다.	1
1744	물에서 나왔는데, 립스틱이 지워지지 않았다.	원인	립스틱이 워터프루프이다.	립스틱이 워터프루프가 아니다.	1
1745	한 달 동안 열심히 운동했다.	결과	체력이 좋아졌다.	운동장이 넓어졌다.	1
1746	신발끈을 풀었다.	결과	신발이 헐렁해졌다.	신발이 헤졌다.	1
1747	씨앗을 심었다.	결과	새싹이 났다.	씨앗을 샀다.	1
1748	머리를 봉 고데기로 말았다.	결과	머리카락이 곱슬곱슬하게 말렸다.	머리카락이 쭉 펴졌다.	1
1749	여자가 문장의 끝에 마침표를 찍었다.	원인	문장을 계속 이어 작성하고자 한다.	문장을 마무리하고자 한다.	2
1750	검진 결과, 남자는 폐암이다.	원인	남자는 평소 기름진 음식을 많이 먹는다.	남자는 평소 담배를 자주 피웠다.	2
1751	선생님 몰래 핸드폰을 했다. 	결과	선생님께 칭찬을 받았다.	선생님께 핸드폰을 압수당했다. 	2
1752	박하사탕을 먹었다.	결과	입 안이 시원해진다.	입 안이 따뜻해진다.	1
1753	남자가 차에서 담배를 폈다.	결과	남자의 차에서 좋은 냄새가 났다.	남자의 차에서 찌든 냄새가 났다.	2
1754	배가 목적지에 도착했다.	결과	배를 정박했다.	배를 출발시켰다.	1
1755	구두를 신고 걸었다.	결과	아무 소리도 나지 않는다.	또각또각 소리가 난다.	2
1756	머리에 왁스를 발랐다.	결과	머리가 고정되었다.	머리가 풀렸다.	1
1757	빙하가 녹았다.	결과	해수면이 높아졌다.	해수면이 낮아졌다.	1
1758	시리얼에 우유를 부었다.	결과	시리얼이 바삭바삭 해졌다.	시리얼이 눅눅해졌다.	2
1759	고기를 팬에 올렸다.	결과	고기가 썰린다.	고기가 익는다.	2
1760	축구팀 선수들이 트로피를 들어올린다.	원인	축구팀은 대회에서 우승했다.	축구팀은 경기에서 패배했다.	1
1761	전자파가 몸에 안 좋다는 이야기를 들었다.	결과	스마트폰 사용 시간을 늘렸다.	스마트폰에 전자파 차단 스티커를 붙였다.	2
1762	손을 소독했다.	결과	손이 더럽다.	손이 청결하다.	2
1763	여성이 신문을 읽는다.	결과	여성은 투표를 한다.	여성은 선거의 결과를 알게 되었다.	2
1764	지은이는 커플링을 끼고 있다.	원인	지은이에게는 친구가 없다.	지은이에게는 연인이 있다.	2
1765	키보드에서 백 스페이스 바를 눌렀다.	결과	글자가 지워진다.	글자가 입력된다.	1
1766	의자에서 떨어져 엉덩방아를 찧었다.	결과	엉덩이에 멍이 들었다.	엉덩이에 몽고반점이 생겼다.	1
1767	봉투의 바닥이 뚫렸다.	결과	봉투 안의 물건이 모두 쏟아졌다.	봉투 안에 물건이 모두 담겼다.	1
1768	휴대폰에서 음악이 나오기 시작했다.	원인	휴대폰에서 음악을 재생했다.	휴대폰에 충전기를 연결했다.	1
1769	태양 아래 오랫동안 서 있었다.	결과	얼굴이 새카맣게 탔다.	해가 떴다.	1
1770	책상이 흔들렸다.	결과	책상 위에 있던 형광펜이 떨어졌다.	책상 위에 형광펜을 칠했다.	1
1771	밥에 물을 붓고 오래 끓였다.	결과	볶음밥이 만들어졌다.	죽이 만들어졌다.	2
1772	흉터가 생겼다	원인	상처가 사라졌다	상처를 치료하지 않았다 	2
1773	장염에 걸렸다.	원인	상한 음식을 먹었다.	익힌 음식을 먹었다.	1
1774	신발에 껌이 붙었다.	원인	누군가 껌을 바닥에 뱉었다.	껌을 휴지에 싸서 버렸다.	1
1775	우유의 색이 변했다.	원인	우유에 딸기를 넣고 같이 갈았다.	우유를 발효시켰다.	1
1776	남자는 대사관을 방문했다.	원인	남자는 가방을 잃어버렸다.	남자는 여권을 잃어버렸다.	2
1777	김치가 숙성되었다.	원인	김치를 상온에 꺼내두었다.	김치를 냉동고에 넣어두었다.	1
1778	여성은 월급을 받았다.	결과	여성의 통장 잔고가 늘어났다.	여성의 통장 잔고가 줄어들었다.	1
1779	원두를 오랫동안 볶았다.	결과	원두가 덜 익었다.	원두가 탔다.	2
1780	코피가 흘렀다.	결과	휴지로 코를 막았다.	코피가 날 정도로 아프게 부딪혔다.	1
1781	팔에 난 상처를 압박했다.	결과	출혈이 멈췄다.	출혈이 심해졌다.	1
1782	정치인의 주장은 터무니없는 것으로 간주되었다.	결과	정치인은 기소되었다.	정치인은 유권자의 지지를 잃었다.	2
1783	망치로 못을 때렸다.	결과	못이 뽑혀 나왔다.	못이 더 깊게 박혔다.	2
1784	남자가 적에게 복수하기를 원했다.	결과	남자가 적에게 결투를 신청했다.	남자는 적과 휴전을 맺었다.	1
1785	땅이 흔들린다.	결과	지진이 일어났다.	산불이 일어났다.	1
1786	음료수가 차갑다	원인	음료수를 냉장고에 넣었다.	음료수를 마셨다.	1
1787	여성이 장바구니를 챙긴다.	원인	여성은 마트에 간다.	여성은 병원에 갔다.	1
1788	아내가 입덧을 했다.	원인	아내가 출산을 했다.	아내가 임신을 했다.	2
1789	수술을 했다.	결과	질병이 발견되었다.	질병이 치료되었다.	2
1790	사람들에게 부딪혀 넘어졌다.	원인	길거리에 사람들이 없다.	길거리에 사람들이 많다.	2
1791	과제를 하나도 내지 않았다.	결과	교수님께 칭찬을 받았다.	교수님께 혼났다.	2
1792	구내염이 생겼다.	결과	입에 통증이 느껴진다.	입에 통증이 느껴지지 않는다.	1
1793	스타킹의 올이 나갔다.	원인	스타킹이 쫀쫀하다.	스타킹이 손톱에 걸렸다.	2
1794	후라이팬을 가열했다.	결과	후라이팬이 뜨거워졌다.	후라이팬이 식었다.	1
1795	얼굴이 하얘졌다.	원인	앞머리를 잘랐다.	얼굴에 분칠을 했다.	2
1796	그 회사는 해당 상품에 대해 광고를 많이 했다.	결과	소비자들은 해당 상품을 잘 기억하게 되었다.	소비자들에게서 해당 상품이 잊혀졌다.	1
1797	텃밭에서 상추를 수확했다.	원인	상추 씨를 심었다.	상추를 맛있게 먹었다.	1
1798	소년이 향수를 느꼈다.	원인	소년이 캠프에 갔다.	소년이 여동생과 싸웠다.	1
1799	컴퓨터의 수리 비용이 매우 비싸다.	결과	컴퓨터를 수리했다.	새 컴퓨터를 구입했다.	2
1800	높은 언덕 위에 올라갔다.	결과	풍경이 잘 보인다.	풍경이 잘 보이지 않는다.	1
1801	여자는 장학금을 받았다.	원인	여자는 학과에서 1등을 했다.	여자는 전 과목에서 F 성적을 받았다.	1
1802	컬러렌즈를 착용했다.	결과	눈동자의 색깔이 그대로다.	눈동자의 색깔이 바뀌었다.	2
1803	여자는 잠옷으로 갈아입었다.	원인	여자는 출근 준비를 한다.	여자는 잠잘 준비를 한다.	2
1804	스테이크가 잘 잘리지 않는다.	원인	칼이 무뎌졌다.	스테이크가 적당히 잘 익었다.	1
1805	시력이 나빠졌다.	결과	지팡이를 새로 맞춘다.	안경을 맞춘다.	2
1806	감을 말렸다.	결과	홍시가 되었다.	곶감이 되었다.	2
1807	옷이 구겨졌다.	결과	스팀다리미로 옷을 다린다.	건조기로 옷을 말린다.	2
1808	머리 길이가 짧아졌다.	원인	미용실에 갔다.	백화점에 갔다.	1
1809	여자가 안대를 착용했다.	원인	여자는 시끄러워 잠에 들 수 없었다.	여자는 눈이 부셔 잠에 들 수 없었다.	2
1810	여성은 매니큐어를 지우려고 한다.	결과	여성은 아세톤을 꺼냈다.	여성은 비누를 꺼냈다.	1
1811	골목에서 누군가가 나를 쫒아온다	결과	위협감을 느끼고 호신용품을 꺼냈다.	위협감을 느끼고 춤을 추었다.	1
1812	갑자기 잠에서 깼다.	원인	다시 잠에 든다.	밖에서 큰 소리가 났다.	2
1813	선글라스를 썼다.	원인	햇빛이 쨍쨍하다.	날씨가 매우 흐리고 비가 온다.	1
1814	휴대폰 충전기 선이 끊어졌다.	결과	휴대폰이 충전되었다.	휴대폰이 충전되지 않았다.	2
1815	걷다가 휴대폰을 잃어버렸다.	결과	산책을 했다.	온 길을 되돌아갔다.	2
1816	밥이 설익었다.	원인	쌀을 덜 불렸다.	쌀을 충분히 불렸다.	1
1817	회가 무척 싱싱하다.	결과	생선을 먹기 좋게 구웠다.	생선을 갓 잡아 만들었다.	2
1818	레몬을 착즙기에 넣었다.	결과	레몬즙이 뿜어져 나왔다.	레몬에 공팡이가 슬었다.	1
1819	편의점에서 우산을 샀다.	원인	갑자기 비가 내렸다.	월급을 받았다.	1
1820	로또가 당첨되었다.	결과	당첨금을 수령했다.	국민연금을 수령했다.	1
1821	야구공이 창문에 부딪혔다.	결과	창문이 깨졌다.	창문이 닫혔다.	1
1822	여자는 상대방의 말에 동의하지 않는다.	결과	상대방의 의견에 반박을 했다.	상대방의 의견을 그대로 수용했다.	1
1823	은행나무의 잎이 노랗게 변했다.	원인	계절이 가을이 되었다.	계절이 봄이 되었다.	1
1824	나무를 도끼로 내리쳤다.	결과	나무가 자랐다.	나무가 쪼개졌다.	2
1825	남자는 소송을 당했다.	원인	남자는 다른 사람의 소설을 표절했다.	남자는 독자들에게 인기를 얻었다.	1
1826	코코아 가루를 따뜻한 우유에 넣고 저었다.	결과	우유에서 코코아 맛이 난다.	우유가 시원해진다.	1
1827	꽃이 시들었다.	원인	꽃에 물을 충분히 주었다.	꽃에 물을 충분히 주지 않았다.	2
1828	얼음을 씹어 먹었다.	결과	입 안이 따뜻해졌다.	입 안이 차가워졌다.	2
1829	남자가 수면제를 복용했다.	결과	남자가 잠에 들지 못했다.	남자가 빠르게 잠에 들었다.	2
1830	코에 공을 맞았다.	결과	코피가 났다.	콧물이 났다.	1
1831	화장실이 물바다가 되었다.	원인	온수기가 고장났다.	변기가 넘쳤다.	2
1832	남자가 트림을 크게 했다.	원인	남자가 콜라를 컵에 따랐다.	남자가 콜라를 빠르게 마셨다.	2
1833	여자가 공책을 새로 샀다.	원인	공책이 다 떨어졌다.	연필이 다 떨어졌다.	1
1834	나보다 무거운 형과 시소를 탔다.	결과	시소가 내 쪽으로 기울어진다.	시소가 형 쪽으로 기울어진다.	2
1835	여성이 눈을 물로 씻었다.	원인	눈에 이물질이 들어갔다. 	코에 이물질이 들어갔다.	1
1836	기념품을 샀다.	원인	여행을 다녀왔다.	환경 오염 문제가 심각했다.	1
1837	양파를 썬다.	결과	눈이 건조해 뻑뻑해진다.	눈이 매워 눈물이 난다.	2
1838	라면이 불었다.	원인	라면을 오랫동안 끓였다.	라면을 오랫동안 끓이지 않았다.	1
1839	신호가 빨간불로 바뀌었다.	결과	경적을 울렸다.	브레이크를 밟았다.	2
1840	휴대폰 화면이 켜지지 않는다.	결과	휴대폰 수리점에 갔다.	휴대폰 액정 필름을 갈았다.	1
1841	사려고 했던 물건이 품절되었다.	결과	다른 물건을 찾아본다.	할인된 가격으로 구매한다.	1
1842	여자가 이불을 빨았다.	원인	고양이가 이불 위에 오줌을 쌌다.	고양이가 이불 위에 누웠다.	1
1843	비누를 손에 문질렀다.	결과	손에 감각이 없다.	손에 거품이 난다.	2
1844	남자가 살이 쪘다.	원인	제사 음식을 너무 많이 먹었다.	황제 다이어트를 했다.	1
1845	설날에 친척들께 절을 했다.	결과	세뱃돈을 받았다.	친척들이 화를 냈다.	1
1846	남자가 숲속에서 길을 잃었다.	결과	남자가 소리를 지르며, 도와달라고 구조요청을 한다.	남자가 텐트를 친다.	1
1847	볼펜으로 쓴 글씨를 지우개로 문질렀다.	결과	글씨가 지워진다.	글씨가 지워지지 않는다.	2
1848	남성이 길을 가다가 넘어졌다.	원인	남성은 돌에 걸렸다.	남성은 저녁을 먹었다.	1
1849	설탕물에 탄산수를 집어 넣었다.	결과	오렌지쥬스가 완성되었다.	사이다가 완성되었다.	2
1850	여성이 남성의 무릎에 응급처치를 했다.	원인	남성의 팔에 피가 난다.	남성의 무릎에 피가 난다.	2
1851	복근이 생겼다.	원인	스트레칭을 했다.	웨이트 트레이닝을 했다.	2
1852	기차가 속도를 줄였다.	원인	기차가 역에 다다랐다.	기차가 도착 예상시간보다 늦었다.	1
1853	여자가 우회전 깜빡이를 켰다.	결과	여자가 좌회전을 했다.	여자가 우회전을 했다.	2
1854	내가 아이를 낳았다.	결과	내가 엄마가 되었다.	내가 어린이이다.	1
1855	여자가 불씨를 밟았다.	결과	불씨가 꺼졌다.	불꽃에서 연기가 피어 올랐다.	1
1856	비가 평소보다 매우 많이 내렸다.	결과	가뭄이 발생했다.	홍수가 발생했다.	2
1857	앞머리가 탔다.	원인	선풍기로 앞머리를 말렸다.	고데기로 앞머리를 너무 오래 잡고 있었다.	2
1858	화석연료를 많이 사용한다.	결과	지구온난화가 가속화된다.	지구온난화가 끝났다.	1
1859	칼로 연필심을 깎았다.	원인	연필심이 부러졌다.	샤프심을 채워넣었다.	1
1860	올챙이에게 다리가 생겼다.	결과	올챙이가 개구리가 되었다.	개구리알이 부화했다.	1
1861	휴지에 코를 풀었다.	결과	휴지로 코를 막았다.	휴지에 콧물이 묻었다.	2
1862	시험 성적이 좋지 않다.	원인	시험 공부를 열심히 했다.	시험 공부를 하지 않았다.	2
1863	여자가 연금복권에 당첨되었다.	결과	여자는 경제적으로 어려워졌다.	여자는 경제적으로 풍족해졌다.	2
1864	아직 굳지 않은 시멘트를 밟았다.	결과	시멘트에 발자국이 남았다.	시멘트가 갈라졌다.	1
1865	물이 증발했다.	원인	주변 온도가 높다.	주변 온도가 낮다.	1
1866	신발을 신었다.	원인	벽에 바른 페인트가 아직 마르지 않았다.	바닥에 깨진 유리 조각이 있었다.	2
1867	그는 한숨을 쉬었다.	원인	그의 동생이 바닥에 물을 흘렸다.	 그의 동생이 집 정리를 완벽하게 해두었다.	1
1868	칼에 손을 베였다.	원인	달걀을 삶았다.	요리를 했다.	2
1869	주방 곳곳에 기름이 튀었다.	원인	달걀을 삶았다.	계란 후라이를 만들었다.	2
1870	여자는 비를 맞고 집에 들어왔다.	결과	여자는 감기에 걸렸다.	여자는 다리를 다쳤다.	1
1871	여성이 안경을 벗었다.	결과	여성은 피곤함을 느낀다.	여성은 앞이 잘 보이지 않는다.	2
1872	경찰이 범인의 다리에 총을 쏘았다.	결과	경찰이 다리에 총상을 입었다.	범인이 다리에 총상을 입었다.	2
1873	나는 내 뒤에 오는 남자를 위해 문을 잡아주었다.	결과	문이 거칠게 닫혔다.	내 뒤에 온 남자가 나에게 고마워했다.	2
1874	여자는 병원복을 입고 있다.	원인	여자는 의사이다.	여자는 환자이다.	2
1875	콜라병을 흔들고 열었다.	결과	콜라가 쏟아져나왔다.	콜라가 맛이 없어졌다.	1
1876	연인이 헤어지기로 하였다. 	원인 	연인은 갈등을 극복하였다.	연인은 갈등을 극복하지 못하였다.	2
1877	남성이 물건을 완충재로 포장했다.	원인	물건은 값이 싸다.	물건은 파손되기 쉽다.	2
1878	소녀의 볼에 보조개가 패였다.	원인	소녀가 잠자고 있었다.	소녀가 미소지었다.	2
1879	여성은 웨딩드레스를 주문했다.	원인	여성은 곧 결혼한다.	여성은 곧 이혼한다.	2
1880	여자가 아이패드를 충전시켰다.	원인	여자의 아이패드가 방전되었다.	여자의 아이패드가 완전히 충전되었다.	1
1881	남성의 얼굴이 실린 광고가 tv에서 방송된다.	원인	남성은 tv를 시청한다.	남성은 모델이다.	2
